Complexity,Loss,Equation
1,50.160767,"-0.28466228"
2,50.014305,"cos(x0)"
3,49.881256,"x0 * -0.10478204"
4,40.692326,"cos(x0 * 2.9953854)"
6,9.178663,"cos(x0 / 0.34213734) / 0.10000813"
8,3.5191274e-11,"cos(x0 + (x0 + x0)) * 10.0"
10,3.5155615e-11,"(cos((x0 + x0) + x0) * 10.0) + -1.1087724e-7"
12,3.5065922e-11,"((cos((x0 + x0) + x0) * 10.0) + x0) - x0"
14,2.7458187e-11,"cos(sin(x0) - (x0 + ((x0 + x0) + sin(x0)))) * 10.0"
16,2.7283602e-11,"4.1892432e-7 - (cos((((x0 + x0) + sin(x0)) + x0) - sin(x0)) * -10.0)"
20,2.5484583e-11,"cos((((x0 + (sin(x0) + (x0 + x0))) + sin(x0)) - sin(x0)) - sin(x0)) * 10.0"
22,2.5219547e-11,"4.1892432e-7 - (cos((((((x0 + x0) + sin(x0)) + x0) + sin(x0)) - sin(x0)) - sin(x0)) * -10.0)"
24,2.4891176e-11,"(3.544983e-7 - (cos((((((x0 + x0) + sin(x0)) + x0) + sin(x0)) - sin(x0)) - sin(x0)) * -8.428812)) * 1.1864069"
