Complexity,Loss,Equation
1,1.2463994,"2.439993"
5,1.2122997,"log(sin(x0) + 11.320662)"
6,1.1238546,"exp(cos(cos(x0 * -1.5082144)))"
8,1.0486454,"exp(cos(cos(x0 * -1.6329638)) + 0.11601759)"
9,1.0478934,"sin(x0 - cos(x0 + x0)) - -2.4837158"
10,1.0184674,"exp(cos(cos((x0 * x0) / 1.3966802))) - -0.2872459"
11,0.94007826,"3.127741 * cos(sin(x0 + (-2.3726542 / exp(cos(x0)))))"
13,0.8757393,"cos(sin((1.360978 / exp(cos(x0 - -1.3582846))) + 0.52495354)) * 3.5518205"
16,0.84923005,"cos(sin(0.16495588 - ((cos(x0) + -0.27534893) / cos(exp(exp(cos(x0))))))) * 3.148378"
24,0.84048086,"cos(sin((((cos(x0) + -1.5952581) - cos(cos(cos(x0)))) / cos(exp(cos(x0)))) + sin(x0 - -0.05571465))) * exp(1.1448117)"
25,0.83600557,"cos(sin(-0.031513058 - (((cos(x0) + (-1.5950688 - cos(cos(cos(x0))))) / cos(exp(cos(x0)))) + sin(x0 - -0.090533234)))) * 3.2006824"
26,0.82210624,"exp(cos(sin(sin(x0 - -0.05571465) + ((cos(x0) + (-1.5952581 - cos(cos(cos(x0))))) / cos(exp(cos(x0))))) * -1.6613433)) + 0.79125434"
27,0.74957025,"exp(cos(sin(sin(x0 - -0.38649076) + (((cos(x0) + -1.3264421) - cos(cos(x0 * 1.6464925))) / cos(exp(cos(x0))))) * 1.7827454)) + 0.9233312"
28,0.7304064,"exp(cos(sin(sin(x0 - -0.1289763) + ((cos(x0) + (-1.5774106 - cos(cos(cos(x0 * -0.9246742))))) / cos(exp(cos(x0))))) * -1.9453685)) + 0.9748255"
30,0.72921884,"(exp(cos(sin(sin(x0 - -0.12490836) + ((cos(x0) + (-1.5768224 - cos(cos(cos(x0 * -0.9243958))))) / cos(exp(cos(x0))))) * -1.603376)) + 0.33546764) * 1.1995491"
