Complexity,Loss,Equation
1,5.147497,"3.0500946"
5,5.0108056,"cos(cos(x0)) + 2.2858512"
6,3.8725512,"3.03983 - cos(x0 * -0.3768021)"
7,3.6631927,"4.302689 - exp(cos(x0 / 2.6259565))"
9,3.6590354,"4.21383 - exp(cos((-0.43974888 + x0) * 0.38128847))"
10,3.5050952,"(cos((x0 - -6.8701777) * 0.38852337) * 1.7761842) + 3.0507233"
13,2.6423776,"exp(cos(x0 * -3.5523515)) + (3.0361433 - exp(cos(x0 * 0.38164583)))"
15,2.6082895,"exp(cos((-1.7372211 + x0) * -3.5520864)) + (3.0361578 - exp(cos(x0 * 0.38128847)))"
18,2.3845427,"exp(cos((-1.0194341 - x0) - (x0 * 2.527835))) + exp(1.5958185 - exp(cos(x0 * 0.37538347)))"
22,2.3327997,"(exp(cos((-0.5039889 - x0) - ((x0 + 0.1948359) * 2.5284264))) + exp(1.2933489 - exp(cos(x0 * 0.37515786)))) * 1.2135427"
24,2.2943218,"(1.2143021 * (exp(cos((-0.50735676 - x0) - ((x0 + 0.20396718) * 2.5277026))) + exp(1.3490387 - exp(cos(0.375178 * x0))))) + -0.22276582"
