Complexity,Loss,Equation
1,10.083051,"4.983917"
4,10.075915,"log(x0 + 117.90185)"
5,10.059226,"cos(sin(x0)) - -4.2170115"
6,8.362439,"sin(x0 / -0.5843038) + 4.9941664"
8,7.0044775,"cos(2.488996 - (x0 / -0.5844899)) + 5.000752"
9,6.1191983,"log(exp(3.8380718 / cos(sin(x0 * 0.84584606))))"
10,3.7170687,"(cos((x0 / -0.58429813) - 2.4637547) + 1.4197289) * 3.55392"
11,3.66529,"cos(cos(2.789254 - (x0 / -0.5843308)) + -0.51567817) * 7.447661"
13,3.5014982,"(sin(cos(2.6314106 - (x0 / -0.5840928)) + 0.6803731) * 5.147584) - -2.5030665"
14,2.945731,"(cos(cos(cos((x0 / -0.5847753) - 2.5093653) + -2.3472595)) * 13.913317) + -5.6088533"
17,2.1251323,"(cos((x0 / -0.58446634) + (cos(2.5070882 - (x0 / -0.58446634)) - 2.6686482)) + 1.1345719) * 4.1356544"
20,1.7366626,"(cos(((x0 / -0.58446634) + cos(cos(2.5070882 - (x0 / -0.58446634)) + -1.4538946)) - 2.6686482) + 1.1345719) * 4.1356544"
