Complexity,Loss,Equation
1,1.2463994,"2.439993"
5,1.2308415,"2.2282557 - (x0 * -0.008642995)"
6,1.1400025,"2.4404206 - sin(x0 * -9.259564)"
7,1.0922372,"2.4349172 - sin(cos(x0) * -4.0935016)"
8,1.0734831,"2.4352345 - sin(sin(cos(x0) * -4.1492615))"
9,0.9306109,"2.4376206 - sin(sin(x0 + -0.26594687) * -3.179854)"
11,0.8839147,"2.4406316 - sin(sin(x0 * -8.508514) + (x0 * -9.26443))"
12,0.88358545,"2.4345243 - sin((sin(x0 + x0) + -4.0596023) * cos(x0))"
13,0.82226235,"2.4406316 - sin(sin(x0 * -8.508514) + (-9.26443 * (x0 + 0.6546691)))"
20,0.6851869,"2.4399893 - sin((x0 * -9.263371) + (sin(x0 * -8.48338) + cos(((x0 * -1.1383907) + x0) + 1.2613873)))"
27,0.64472926,"exp(cos(cos(((sin(0.25249815 - x0) * 1.8680798) * cos(sin(sin(x0 - cos((x0 + x0) * 2.2154274))))) - 0.52980304) / -0.30429077)) + 1.4265045"
29,0.6446435,"exp(cos(cos(((sin(0.25249815 - x0) * 1.8680798) * cos(sin(sin(x0 - cos((x0 + x0) * 2.2154274))))) - 0.52980304) / -0.30429077)) + (1.4265045 * 0.9684383)"
30,0.6442534,"exp(cos(cos((cos(sin(sin(x0 - cos((x0 + x0) * 2.2154274)))) * (sin(0.25249815 - x0) * 1.8680798)) - 0.52980304) / -0.30429077)) + (1.4265045 * sin(1.4265045))"
