Complexity,Loss,Equation
1,1.2463994,"2.439993"
5,1.2122995,"log(sin(x0) - -11.320531)"
6,1.1238549,"exp(cos(cos(x0 * 1.5082028)))"
7,1.0767819,"cos(cos(x0 * -4.655243)) * 3.0556781"
8,1.0460775,"exp(cos(cos(x0 * 1.508564)) / 0.8750171)"
9,1.0452155,"(cos(cos(x0 * 1.5087698)) * 2.8425329) - -0.263437"
10,0.8978009,"sin(sin(x0 - exp(x0 - -2.991737))) + 2.4831793"
11,0.84609544,"cos(cos(((x0 / 6.0697656) * x0) * 3.6883113)) * 3.0871174"
13,0.8176763,"(cos(cos(((x0 / 6.0697656) * x0) * 3.6883113)) * 3.8342142) + -0.5529746"
15,0.8127692,"(cos(cos(((x0 / 6.0697656) * x0) * 3.6883113) * 1.2893542) * 2.6654406) + 0.6751669"
20,0.7828145,"cos(cos(cos(cos(x0 * 1.5082028))) * (cos(((x0 / 6.0697656) * x0) * 3.6883113) * 1.2893542)) * 3.0556781"
21,0.75745916,"cos(cos(cos((x0 * x0) * 1.1170015)) * (cos(((x0 / 6.0697656) * x0) * 3.6883113) * 1.2893542)) * 3.0556781"
23,0.6930503,"cos(cos(cos((x0 - -0.9414886) * (x0 * 0.21135871))) * (cos(((x0 / 6.0697656) * x0) * 3.6883113) * 1.2893542)) * 3.0556781"
25,0.6930494,"cos((cos(cos(((x0 - -0.9414886) * (x0 * 0.18921971)) * 1.1170015)) * cos(((x0 / 6.0697656) * x0) * 3.6883113)) * 1.2893542) * 3.0556781"
