Complexity,Loss,Equation
1,5.147497,"3.0497894"
5,4.9080215,"2.205595 / cos(sin(x0))"
6,3.873577,"3.0293164 - cos(x0 * -0.37588438)"
8,3.588978,"(cos(x0 * -0.37649688) * -1.744458) + 3.0330584"
10,3.5889764,"log(exp(cos(x0 * -0.37650862) / -0.57342196)) + 3.0335002"
12,3.5050921,"log(exp(cos((x0 * -0.38848853) + 0.47131872) * -1.7745394)) + 3.0506754"
16,3.487348,"(cos((cos(x0 * 0.19412048) * cos(x0 * 0.18709813)) * 1.3717145) / 0.35974798) * 1.5678731"
17,3.2805867,"cos(cos(x0 * 0.18851693) * ((0.7011755 / cos(cos(x0 + -0.2273168))) / 0.78147554)) / 0.213412"
19,3.2805824,"(cos((cos(x0 * 0.18851127) * (0.69993514 / cos(cos(x0 + -0.22675134)))) / 0.78037786) * 1.3572408) / 0.28967538"
20,3.0588155,"log(exp(cos(cos((x0 * 3.0131698) - x0) * 24.164293) + (cos(x0 * -0.37718007) / -0.58007956))) + 3.0131698"
22,2.9509275,"log(exp(cos(((x0 + 23.667248) * (x0 * 3.0131698)) - cos(x0)) + (cos(x0 * -0.37718007) / -0.58007956))) + 3.0131698"
