Complexity,Loss,Equation
1,1.2463994,"2.440071"
5,1.2123691,"log(sin(x0) + 11.415274)"
6,1.1238554,"exp(cos(cos(x0 * -1.6334138)))"
7,1.0689694,"sin(sin(x0) / 0.3122842) + 2.4325478"
8,1.0486463,"exp(cos(cos(x0 * -1.6329945)) - -0.11617537)"
10,1.0167074,"exp(cos(cos((x0 * -1.6448371) - -0.4257222)) - -0.115819484)"
11,0.96060514,"sin((x0 + sin(x0 + x0)) + -1.0333099) + 2.4349523"
13,0.8980568,"sin((x0 + sin((x0 + x0) + 0.42315865)) + -1.0327624) + 2.4348123"
16,0.77913547,"exp(cos(-0.6845929 - sin(x0 / exp(exp((-2.5353432 - x0) / 15.343897))))) + 0.5338485"
17,0.77331084,"exp(cos(sin(x0 / exp(sin(exp((-2.198628 - x0) / 15.397714)))) - -0.7304862)) + 0.578473"
19,0.7180226,"exp(cos(-0.662693 - sin(sin((x0 + 1.9727099) / exp(exp((0.4224626 - x0) / 17.85451)))))) + 0.47049943"
28,0.59965193,"exp(cos(-0.6903072 - sin(x0 / exp(exp((-3.0726092 - x0) / 15.656605))))) + cos(sin(cos(x0)) - cos(-0.36426264 / ((-3.072433 - x0) / 6.303498e6)))"
