Complexity,Loss,Equation
1,10.083051,"4.983917"
4,10.075914,"log(x0 + 117.97232)"
5,10.075466,"4.835063 - (x0 * -0.005026948)"
6,7.3729677,"4.9996333 - sin(x0 * 1.7339854)"
7,6.0843954,"cos(cos(x0 * 25.97893)) * 6.9254932"
9,5.994521,"(cos(cos(x0 * 25.97893)) * 6.9254932) + -0.28393286"
10,3.717065,"5.0458107 - (sin((x0 * 1.7116073) + 0.8893111) * 3.5546198)"
11,3.5170603,"5.0451765 - (sin(sin((x0 + 0.5186122) * 1.711721)) * 4.0951033)"
12,3.3822246,"5.0484633 - (sin(sin(sin((x0 * 1.7117269) + 0.8892485))) * 4.5434427)"
13,2.725176,"5.057499 - (sin(2.4622731 * sin((x0 * 1.7123942) + 0.88043934)) * 3.4619215)"
14,2.5077107,"5.0445685 - (sin(sin(sin((x0 * 1.711672) + 0.8947277) * 2.5453513)) * 4.129809)"
15,2.3560863,"5.0568566 - (sin(sin(sin(sin((x0 + 0.5071666) * 1.7127687) * 2.612009))) * 4.640611)"
16,1.5672586,"5.057499 - (sin(sin(sin((x0 * 1.7123942) + 0.88043934) * 2.4622731) * 2.4622731) * 3.4619215)"
17,1.436281,"5.0451765 - (sin(sin(2.4622731 * sin(sin(0.88043934 + (x0 * 1.7123942)))) * 2.4622731) * 4.0951033)"
18,1.3891873,"5.052266 - (sin(sin(sin(sin(2.885839 * sin((x0 + 0.5102335) * 1.7126466)) * 2.885839))) * 5.8297825)"
19,1.208214,"5.052266 - (sin(sin(sin(sin(sin(sin((x0 + 0.5102335) * 1.7126466) * 2.885839) * 2.885839)))) * 5.7676783)"
20,1.1781828,"5.052266 - (sin(sin(sin(sin(sin(sin(sin((x0 + 0.5102335) * 1.7126466) * 2.885839) * 2.885839))))) * 5.959953)"
29,1.1769851,"5.052266 - (sin(sin(sin(sin(sin((2.885839 * sin(sin((x0 + 0.5102335) * 1.7126466) * 2.885839)) * sin(1.6201136)))))) * ((5.7676783 / 0.98934704) - (-0.07376095 + 0.03400006)))"
