Complexity,Loss,Equation
1,1.2463994,"2.4399624"
5,1.2308415,"(x0 * 0.008643357) + 2.2282383"
6,1.1238593,"exp(cos(cos(x0 * 4.6499076)))"
8,1.0487138,"exp(cos(cos(x0 * -4.7748194)) + 0.11713979)"
10,0.9867047,"cos(exp(cos((x0 * x0) * -20.434385))) + 2.139681"
12,0.87176514,"sin(exp(sin(exp(sin(x0 + -0.22740975)) + -5.501839))) * 3.7339597"
13,0.8669455,"exp(sin(exp(sin(exp(sin(x0 + -0.22650814)) + 0.7799514))) * 1.327336)"
17,0.86619073,"(exp(sin(exp(sin(exp(sin(log(exp(x0 + -0.22850263)))) + 0.78718)))) * 1.660512) + -0.78511333"
19,0.860504,"(exp(sin(exp(sin(exp(sin(log(exp(x0 + -0.22067298)))) + 0.7645247) + -0.02594576))) * 1.822907) + -1.2009623"
20,0.75355834,"exp(sin(exp(exp(sin(exp(sin(exp(x0 - exp(cos(x0) + -0.058411308)))))) + cos(x0)))) + 1.0743734"
